Region,year,ppt
SU,1100,232.4041353
SU,1101,292.1715617
SU,1102,274.8832628
SU,1103,215.3110902
SU,1104,253.4321742
SU,1105,287.0959038
SU,1106,208.4586466
SU,1107,260.2901394
SU,1108,242.9118891
SU,1109,283.3068217
SU,1110,277.5971178
SU,1111,184.0506736
SU,1112,302.2081767
SU,1113,241.7059837
SU,1114,313.603266
SU,1115,317.125
SU,1116,353.5103383
SU,1117,387.7352365
SU,1118,279.0470316
SU,1119,257.5338737
SU,1120,326.6739505
SU,1121,177.4745066
SU,1122,336.4129464
SU,1123,275.6743029
SU,1124,289.3910558
SU,1125,272.0171914
SU,1126,99.30509868
SU,1127,229.968515
SU,1128,332.5627741
SU,1129,318.1227679
SU,1130,200.1465774
SU,1131,333.8199405
SU,1132,97.41991698
SU,1133,143.6365523
SU,1134,198.4714521
SU,1135,200.8854558
SU,1136,228.4819862
SU,1137,207.3741385
SU,1138,134.4188205
SU,1139,213.860589
SU,1140,177.7680921
SU,1141,308.9941259
SU,1142,243.7699326
SU,1143,267.8253446
SU,1144,266.9463503
SU,1145,341.5339912
SU,1146,147.1293076
SU,1147,205.7269345
SU,1148,184.9519893
SU,1149,221.7331219
SU,1150,129.8223684
SU,1151,202.3059994
SU,1152,235.9192904
SU,1153,223.3179825
SU,1154,108.728031
SU,1155,266.1929825
SU,1156,61.0327381
SU,1157,212.6913377
SU,1158,130.2704809
SU,1159,276.4842575
SU,1160,248.5233396
SU,1161,182.9356203
SU,1162,209.6520207
SU,1163,374.2561482
SU,1164,243.7241541
SU,1165,301.6264098
SU,1166,153.2887688
SU,1167,294.4505796
SU,1168,210.7599859
SU,1169,185.8289865
SU,1170,251.8828712
SU,1171,334.9015899
SU,1172,215.6561717
SU,1173,321.0488722
SU,1174,200.6284461
SU,1175,188.3932487
SU,1176,273.8799342
SU,1177,219.1192434
SU,1178,363.1864035
SU,1179,242.6022478
SU,1180,283.5186012
SU,1181,254.3346648
SU,1182,189.220708
SU,1183,281.284187
SU,1184,342.2346491
SU,1185,233.7130326
SU,1186,141.709469
SU,1187,279.1262923
SU,1188,247.5094377
SU,1189,214.1084352
SU,1190,288.1842888
SU,1191,355.2079809
SU,1192,307.6570724
SU,1193,219.6972118
SU,1194,274.0000392
SU,1195,296.082276
SU,1196,240.9153352
SU,1197,354.6479872
SU,1198,297.8265977
SU,1199,213.3976739
SU,1200,289.0017231
SU,1201,344.2156172
SU,1202,312.6007206
SU,1203,345.7890429
SU,1204,271.168468
SU,1205,302.4718828
SU,1206,231.877937
SU,1207,271.9690633
SU,1208,208.0067747
SU,1209,309.6764959
SU,1210,321.0948857
SU,1211,320.4240288
SU,1212,290.0823543
SU,1213,294.148183
SU,1214,263.6805294
SU,1215,166.308584
SU,1216,264.1409383
SU,1217,106.7557566
SU,1218,147.6730498
SU,1219,335.6202224
SU,1220,270.7748669
SU,1221,226.3849076
SU,1222,313.0365367
SU,1223,278.8189615
SU,1224,214.9572368
SU,1225,194.0370849
SU,1226,270.7568139
SU,1227,83.6383537
SU,1228,377.8042372
SU,1229,251.1004856
SU,1230,296.2524279
SU,1231,325.9756814
SU,1232,281.900141
SU,1233,169.9481516
SU,1234,181.8218593
SU,1235,244.7848919
SU,1236,165.8465695
SU,1237,239.90112
SU,1238,299.8939145
SU,1239,239.0558819
SU,1240,191.8833412
SU,1241,300.7754543
SU,1242,258.76026
SU,1243,217.6698387
SU,1244,259.7523496
SU,1245,126.0898731
SU,1246,183.2511357
SU,1247,170.7398183
SU,1248,235.2861842
SU,1249,281.5527882
SU,1250,221.1434837
SU,1251,95.87014411
SU,1252,226.7227835
SU,1253,252.1489662
SU,1254,124.5101817
SU,1255,219.383302
SU,1256,277.0973136
SU,1257,307.440907
SU,1258,138.8246006
SU,1259,353.3902334
SU,1260,339.9082472
SU,1261,297.3305921
SU,1262,283.1777099
SU,1263,299.9915414
SU,1264,194.1366698
SU,1265,323.5225564
SU,1266,243.6248434
SU,1267,334.9195645
SU,1268,369.9177632
SU,1269,382.9309602
SU,1270,236.8601974
SU,1271,325.8074091
SU,1272,332.2113878
SU,1273,192.5413534
SU,1274,168.4447055
SU,1275,385.1007206
SU,1276,148.0726817
SU,1277,249.2606908
SU,1278,181.7752193
SU,1279,159.4828086
SU,1280,174.1091009
SU,1281,219.6471256
SU,1282,226.4148653
SU,1283,113.0162516
SU,1284,236.7000313
SU,1285,122.0191494
SU,1286,135.8796992
SU,1287,199.9404762
SU,1288,166.006109
SU,1289,223.4056234
SU,1290,346.8286341
SU,1291,243.2413847
SU,1292,217.3366228
SU,1293,233.5064223
SU,1294,197.9458412
SU,1295,114.4109492
SU,1296,264.6049499
SU,1297,241.6094925
SU,1298,399.5097509
SU,1299,178.8678336
SU,1300,291.5097118
